question,answer
Tell me more about the GenAI Assistant Service.,"The GenAI Assistant Service Abhay built at Pegasystems integrates OpenAI API, Anthropic Claude API, and Google Vertex models. It accelerated API calls by 70% and reduced resource consumption by 20%. It serves as a unified service layer for GenAI capabilities across the platform."
How did Abhay accelerate API calls by 70%?,"Abhay built a Generative AI Assistant Service at Pegasystems that optimized how API calls are made to OpenAI, Claude, and Google Vertex models. The service architecture and optimizations resulted in a 70% acceleration in API call performance."
What is the AI Tracer and why was it built?,"The AI Tracer is a tool Abhay built at Pegasystems to track time and token consumption in agent orchestration workflows. It was needed to understand and optimize how AI agents use resources, and it achieved a 50% improvement in agent performance tracking."
How does the AI Evaluation Framework work?,"The AI Evaluation Framework Abhay built at Pegasystems benchmarks agent performance using two methods: LLM-as-a-judge (where an LLM evaluates outputs) and pairwise comparison (comparing two agent outputs head-to-head). It reduced evaluation time by 30 minutes per run."
Tell me about the Chat With Your Data Agent.,"Abhay designed a Chat With Your Data AI Agent at Pegasystems that allows users to query their data using natural language. It empowers 50+ external clients and 400+ internal users to self-serve data insights, driving a 4X increase in daily query volume."
How does the Chat With Your Data Agent serve so many users?,"The Chat With Your Data Agent was designed to scale across both internal and external users. It empowers 50+ clients and 400+ internal users by providing a natural language interface to data, making data insights self-serve and driving a 4X increase in daily queries."
How did Abhay deploy the 120B parameter model?,"Abhay deployed the GPT-OSS 120B model using vLLM with FlashAttention on A100 GPUs at Pegasystems. vLLM is a high-throughput inference engine, and FlashAttention optimizes the attention mechanism for faster and more memory-efficient inference."
What is the difference between the 20B and 120B deployments?,"Both GPT-OSS 20B and 120B were deployed using vLLM with FlashAttention on A100 GPUs. The 120B model is significantly larger and requires more GPU memory and compute, while the 20B model is more lightweight. Both are deployed for production GenAI services at Pegasystems."
What did Abhay build at the CiBi platform?,"At Awone AI, Abhay integrated multiple ML modules into the CiBi no-code platform covering Tabular data, Computer Vision, NLP, and GenAI. This allowed enterprise users to build and deploy ML models without writing code."
How did Abhay use Ray framework at Awone AI?,"Abhay used the Ray framework at Awone AI to automate ML lifecycle stages — from dataset ingestion through feature engineering, model training, and deployment. This automation streamlined the ML workflow across the CiBi platform."
How did Abhay reduce training time by 60%?,"Abhay used Distributed Data Parallel (DDP) at Awone AI to distribute model training across multiple GPUs, reducing training time by 60%. DDP parallelizes data across GPUs while keeping model replicas synchronized."
What kind of enterprise clients did Abhay serve at Awone AI?,"Abhay fine-tuned and deployed custom ML models for 7 enterprise clients at Awone AI. These models were customized to each client's specific data and use case requirements through the CiBi platform."
Tell me about the fraud detection project.,"At UnitedHealth Group, Abhay engineered the deployment of fraud detection models using AWS EKS, Docker, Kubernetes, and FastAPI. The models were containerized and deployed on Kubernetes for scalable inference."
How did Abhay deploy fraud detection models?,"Abhay deployed fraud detection models at UnitedHealth Group using a cloud-native stack: Docker for containerization, Kubernetes via AWS EKS for orchestration, and FastAPI for the serving API layer."
Tell me about the recommendation engine at ShareChat.,"Abhay built a personalized recommendation engine at ShareChat using Neural Collaborative Filtering and Golang. The engine boosted ad click-through rate by 1.9% by providing personalized content recommendations to users."
How did the recommendation engine boost CTR by 1.9%?,"The recommendation engine Abhay built at ShareChat used Neural Collaborative Filtering to learn user preferences and provide personalized ad recommendations. This personalization improved the ad click-through rate by 1.9%."
What was Abhay's first project with Triton?,Abhay's first notable project was during his UHG internship where he developed a deployment automation tool for NVIDIA Triton Inference Server. This tool improved inference latency by 35%.
How did Abhay improve inference latency by 35%?,"During his internship at UnitedHealth Group, Abhay built a deployment automation tool for NVIDIA Triton Inference Server that streamlined the model deployment process and improved inference latency by 35%."
What is the LLM-from-scratch project?,"Abhay built a complete language model from scratch — including a byte-level BPE tokenizer, a GPT-2 style decoder-only transformer with about 5 million parameters, and the full training pipeline using PyTorch. It serves as a personal AI assistant."
How did Abhay build his personal AI assistant?,"Abhay built a decoder-only transformer model from scratch using PyTorch. He implemented byte-level BPE tokenization with a 4096-token vocabulary, a GPT-2 style pre-norm architecture, and trained it to answer questions about his professional background."
What AI models did Abhay integrate at Pegasystems?,"Abhay integrated multiple AI model providers at Pegasystems — OpenAI API, Anthropic Claude API, and Google Vertex models — into a unified GenAI Assistant Service that accelerated API calls by 70%."
What monitoring tools did Abhay build?,"Abhay built an AI Tracer at Pegasystems that tracks time and token consumption during agent orchestration. He also uses Prometheus and Grafana for system monitoring in his deployments."
How did Abhay improve operational efficiency at UHG?,"Abhay improved operational efficiency by 25% at UnitedHealth Group through streamlined data handling and preprocessing workflows. He also collaborated with cross-functional teams to implement data handling best practices."
What is Abhay's experience with no-code ML platforms?,"Abhay was a key contributor to CiBi, Awone AI's no-code ML platform. He integrated Tabular, Computer Vision, NLP, and GenAI modules, enabling non-technical users to build and deploy ML models without writing code."
Tell me about Abhay's vSLM-From-Scratch project in detail.,"vSLM-From-Scratch is Abhay's most technically deep personal project. He trained a very small language model entirely from scratch using PyTorch — no pre-trained weights or existing tokenizers. He built a byte-level BPE tokenizer with a 4096-token vocabulary, implemented a GPT-2 style decoder-only transformer with about 5 million parameters, created a custom training pipeline with checkpointing, and trained it to serve as a personal AI assistant. The full code is on GitHub at github.com/chaturvediabhay24/vSLM-From-Scratch."
What makes the vSLM-From-Scratch project impressive?,"The vSLM-From-Scratch project demonstrates Abhay's deep understanding of language model internals. He built everything from scratch — byte-level BPE tokenization, causal self-attention, transformer blocks with pre-norm architecture, positional embeddings, and autoregressive decoding. It shows he understands models not just at the API level but at the architecture level."
Tell me about Abhay's multi-agent framework.,"Abhay built multi-agent-fw, a multi-AI agent framework that simplifies working with multiple AI providers. Users can connect to providers like OpenAI and Anthropic using API keys and easily create and orchestrate AI agents. The framework abstracts away provider-specific details, making agent creation straightforward. The code is on GitHub at github.com/chaturvediabhay24/multi-agent-fw."
How does Abhay's multi-agent framework work?,"The multi-agent-fw framework allows users to plug in API keys for different AI providers and create agents that can work together. It handles the complexity of connecting to multiple AI providers behind a clean interface, making it easy to build multi-agent workflows. This aligns with Abhay's specialization in Agentic AI."
Tell me about Abhay's facial recognition project.,"Abhay built Face-Rect, a project where he trained a facial recognition model from scratch and then built a production-ready serving layer for it. The project covers both the model training side (computer vision, deep learning) and the deployment side (building APIs for real-world inference), showcasing Abhay's end-to-end ML engineering skills. The code is on GitHub at github.com/chaturvediabhay24/Face-Rect."
How does Abhay's Face-Rect project demonstrate his skills?,"Face-Rect showcases Abhay's computer vision expertise and his ability to take a model from training to production. He trained the facial recognition model and then built serving infrastructure for production use cases — reflecting the same end-to-end approach he uses in his professional work at Pegasystems and Awone AI."
What do Abhay's personal projects reveal about him?,"Abhay's personal projects show three things: (1) deep technical understanding — he built a language model from scratch with vSLM-From-Scratch, (2) Agentic AI expertise — he built a multi-agent framework, and (3) end-to-end capability — Face-Rect covers both training and production serving. These projects mirror his professional strengths."
