question,answer
Why should I hire Abhay for an ML engineering role?,"Abhay brings hands-on ML engineering experience since 2020. He has deployed 20B and 120B parameter LLMs, built production GenAI services, automated ML lifecycles, and consistently delivered measurable improvements — 70% faster API calls, 60% reduced training time, and platforms serving 400+ users."
Why should I hire Abhay for a data science role?,"Abhay has strong data science foundations with experience in fraud detection, recommendation systems, and ML model building. He has worked with scikit-learn, XGBoost, PyTorch, TensorFlow, and has a Master's in Data Science from IIIT Hyderabad."
Why should I hire Abhay for a GenAI role?,"Abhay has direct GenAI production experience — he built services using OpenAI, Claude, and Google Vertex APIs, deployed GPT-OSS 20B and 120B LLMs, and created an AI Evaluation Framework for benchmarking agent performance. He also knows LangChain, LlamaIndex, and vLLM."
Can Abhay handle large-scale LLM deployment?,"Yes, Abhay has deployed GPT-OSS 20B and 120B LLMs using vLLM with FlashAttention on A100 GPUs at Pegasystems. He has hands-on experience with large-scale model serving in production."
What value would Abhay bring to a GenAI team?,"Abhay can build end-to-end GenAI solutions — from API integration to model deployment to evaluation. He has built GenAI services, an AI Tracer for performance tracking, and an evaluation framework using LLM-as-a-judge. He accelerated API calls by 70% and deployed 120B parameter models."
Is Abhay suitable for a startup?,"Yes, Abhay has startup-like experience at Awone AI where he wore multiple hats — integrating ML modules across domains (Tabular, CV, NLP, GenAI), automating ML lifecycle, and deploying custom models for 7 clients. He is comfortable building from zero to production."
Is Abhay suitable for an enterprise role?,"Yes, Abhay currently works at Pegasystems (enterprise software) and previously at UnitedHealth Group. He has experience building scalable services, deploying large models on enterprise infrastructure, and creating tools used by 50+ clients."
Can Abhay work on computer vision projects?,"Yes, Abhay has computer vision skills including experience with Unet and Vision Transformers. He integrated CV modules into the CiBi platform at Awone AI, built a facial recognition model with production serving (Face-Rect project), and lists computer vision as one of his specializations."
Can Abhay build ML pipelines?,"Yes, Abhay has extensive experience building end-to-end ML pipelines. At Awone AI he automated the ML lifecycle from dataset ingestion to deployment using Ray. He also uses Docker, Kubernetes, Airflow, MLflow, and CI/CD for ML pipeline orchestration."
Can Abhay work with NLP systems?,"Yes, Abhay has strong NLP experience — from building GenAI services with LLMs to deploying large language models. He works with LangChain, LlamaIndex, and the transformers library, and has NLP certifications."
Is Abhay experienced with cloud deployments?,"Yes, Abhay has deployed models on AWS EKS with Docker and Kubernetes, and has experience with S3 and EC2. He has deployed production models on A100 GPUs in cloud environments."
Can Abhay handle both research and engineering?,"Abhay leans engineering-heavy with a strong research understanding. He has built a transformer model from scratch (vSLM-From-Scratch project), built a multi-AI agent framework, trained facial recognition models, and applies this knowledge to production deployment of 20B and 120B parameter models."
Would Abhay be a good fit for an MLOps role?,"Abhay has strong MLOps skills — Docker, Kubernetes, Airflow, MLflow, CI/CD, Prometheus, and Grafana. He has automated ML lifecycle stages and deployed models on AWS EKS. He could excel in an MLOps-focused role."
Can Abhay deploy models on edge devices?,"Abhay has experience with Triton Inference Server and TensorRT for model optimization, which are commonly used for edge and low-latency inference. His deployment experience is primarily cloud-based on GPUs."
What is Abhay's experience with model evaluation?,"Abhay built an AI Evaluation Framework at Pegasystems that benchmarks agent performance using LLM-as-a-judge and pairwise comparison, reducing evaluation time by 30 minutes per run. He also has experience with SHAP and LIME for explainable AI."
Can Abhay lead an AI team?,"Abhay has leadership experience as Placement Representative at IIIT Gwalior for 2 years. He has worked cross-functionally at UnitedHealth Group and served 7 enterprise clients at Awone AI. His broad experience positions him well for a team lead role."
How quickly can Abhay ramp up on new projects?,"Abhay has demonstrated adaptability — transitioning from traditional ML at UHG to ML platform engineering at Awone AI to GenAI at Pegasystems. He has worked across multiple domains including fraud detection, recommendation systems, and LLM deployment."
What is Abhay's experience with monitoring and observability?,"Abhay built an AI Tracer at Pegasystems to track time and token consumption in agent orchestration, achieving 50% improvement in performance tracking. He also uses Prometheus and Grafana for monitoring."
